customer_id,day_of_week,time_of_day,location,weather,payment_method,zone_type,gender,trip_type,avg_trips_per_week,avg_estimated_price,avg_spent_per_week,last_trip_days_ago,tenure_days,churn_prob,churn
CUST00000,Monday,Night,Chennai,Rainy,Card,Commercial,Other,Taxi,2.88,91.67,267.25,3,317,0.121973207,0
CUST00001,Thursday,Afternoon,Delhi,Clear,Cash,Residential,Female,Taxi,4.53,85.48,408.07,6,107,0.118057488,0
CUST00002,Wednesday,Night,Bangalore,Clear,Card,Commercial,Male,Auto,8.22,63.07,529.54,3,15,0.061502365,0
CUST00003,Wednesday,Night,Kolkata,Cloudy,Card,Residential,Male,Auto,1.32,44.98,67.38,16,270,0.646132451,1
CUST00004,Saturday,Afternoon,Hyderabad,Clear,Cash,Residential,Female,Auto,2.69,43.59,125.21,13,82,0.523380145,0
CUST00005,Monday,Afternoon,Kolkata,Clear,Cash,Commercial,Female,Auto,3.9,43.65,166.32,3,28,0.12357295,1
CUST00006,Wednesday,Morning,Pune,Rainy,Card,Commercial,Other,Taxi,2.66,92.6,160.05,3,251,0.233752988,0
CUST00007,Sunday,Evening,Delhi,Rainy,Card,Residential,Male,Auto,5.36,62.53,352.94,0,692,0.032558119,0
CUST00008,Saturday,Morning,Pune,Clear,Cash,Residential,Male,Taxi,4,123.71,515.15,4,204,0.15065465,0
CUST00009,Sunday,Night,Pune,Clear,Card,Residential,Male,Taxi,2.51,79.19,287.46,1,57,0.124240125,0
CUST00010,Friday,Night,Ahmedabad,Clear,Card,Commercial,Female,Taxi,2.96,70.18,229.98,1,295,0.156740989,0
CUST00011,Tuesday,Night,Ahmedabad,Rainy,Card,Mixed,Female,Auto,5.54,52.75,230.78,10,45,0.169360674,0
CUST00012,Monday,Night,Ahmedabad,Clear,Card,Mixed,Male,Auto,5.41,51.36,309.92,1,181,0.106682381,0
CUST00013,Tuesday,Night,Chennai,Clear,Cash,Residential,Female,Taxi,1.49,72.74,91.89,8,330,0.301780309,0
CUST00014,Wednesday,Night,Hyderabad,Rainy,Cash,Residential,Female,Auto,9.21,39.06,326.91,6,499,0.006152226,0
CUST00015,Wednesday,Night,Hyderabad,Rainy,Card,Residential,Male,Auto,5.83,44.48,276.3,4,131,0.048174206,0
CUST00016,Sunday,Morning,Ahmedabad,Clear,Cash,Commercial,Male,Auto,2.47,65.19,168.89,8,54,0.391192351,1
CUST00017,Sunday,Evening,Ahmedabad,Rainy,Cash,Commercial,Male,Auto,3.26,33.31,168.2,0,679,0.10263932,0
CUST00018,Friday,Morning,Kolkata,Rainy,UPI,Residential,Female,Auto,6.18,54.44,317.65,4,115,0.05511074,0
CUST00019,Saturday,Evening,Delhi,Clear,Cash,Commercial,Male,Auto,9.07,39.54,407.96,10,69,0.0374495,0
CUST00020,Thursday,Night,Ahmedabad,Cloudy,Cash,Residential,Male,Taxi,3.3,64.79,215.53,27,25,0.345495333,1
CUST00021,Monday,Evening,Hyderabad,Clear,Card,Residential,Male,Auto,7.48,55.53,457.43,12,578,0.008579546,0
CUST00022,Saturday,Afternoon,Chennai,Cloudy,Cash,Commercial,Male,Auto,8.01,69.93,603.11,3,90,0.030528485,0
CUST00023,Sunday,Afternoon,Kolkata,Cloudy,Cash,Residential,Female,Auto,6.28,30,72.78,9,117,0.132543531,1
CUST00024,Saturday,Night,Mumbai,Foggy,Card,Residential,Male,Taxi,0,77.31,9.84,2,981,0.198872349,0
CUST00025,Monday,Afternoon,Chennai,Clear,Cash,Commercial,Female,Taxi,2.75,75.73,218.1,22,421,0.170183286,1
CUST00026,Thursday,Morning,Bangalore,Clear,Card,Residential,Female,Taxi,1.64,92.05,237.19,4,33,0.532239809,1
CUST00027,Tuesday,Morning,Hyderabad,Clear,UPI,Residential,Male,Auto,7.32,44.86,254.55,3,141,0.030656937,0
CUST00028,Thursday,Night,Delhi,Clear,Cash,Residential,Male,Auto,4.17,30,21.35,8,23,0.198239291,0
CUST00029,Tuesday,Afternoon,Bangalore,Clear,Cash,Residential,Female,Taxi,5.01,118.97,606.73,22,57,0.316437099,1
CUST00030,Monday,Night,Kolkata,Clear,Card,Commercial,Female,Auto,2.71,56.81,138.73,6,166,0.266444623,0
CUST00031,Thursday,Night,Mumbai,Rainy,UPI,Commercial,Male,Auto,6.7,51.49,340.83,3,66,0.117592516,0
CUST00032,Thursday,Morning,Chennai,Rainy,UPI,Residential,Female,Taxi,3.46,81.97,296.13,15,67,0.419859395,0
CUST00033,Tuesday,Afternoon,Delhi,Rainy,Cash,Commercial,Male,Auto,2.17,53.71,107.8,24,158,0.775602461,0
CUST00034,Friday,Morning,Chennai,Clear,Cash,Residential,Female,Taxi,5.49,66.67,362.22,25,50,0.261976045,0
CUST00035,Wednesday,Afternoon,Delhi,Clear,Cash,Commercial,Female,Auto,2.26,36.5,92.07,14,178,0.579845939,1
CUST00036,Sunday,Afternoon,Ahmedabad,Rainy,Card,Mixed,Female,Taxi,1.16,83.53,177.66,42,208,0.701152617,1
CUST00037,Saturday,Night,Chennai,Cloudy,Cash,Commercial,Male,Taxi,5.37,70.45,405.55,24,20,0.294282571,0
CUST00038,Monday,Afternoon,Ahmedabad,Clear,Card,Residential,Female,Taxi,1.39,101.77,119.02,0,271,0.140867717,0
CUST00039,Monday,Afternoon,Chennai,Clear,Cash,Mixed,Female,Auto,5.81,33.3,222.45,0,163,0.061473787,0
CUST00040,Wednesday,Night,Hyderabad,Clear,Cash,Commercial,Female,Taxi,6.67,63.44,452.4,0,94,0.041676837,0
CUST00041,Sunday,Night,Chennai,Clear,Cash,Mixed,Female,Auto,7.27,39.29,219.9,3,52,0.078538177,0
CUST00042,Wednesday,Night,Mumbai,Clear,Card,Residential,Male,Auto,6.54,43.63,301.08,15,15,0.156040038,0
CUST00043,Tuesday,Night,Ahmedabad,Clear,Cash,Commercial,Male,Auto,2.94,65.74,144.67,4,34,0.199028922,0
CUST00044,Thursday,Afternoon,Delhi,Clear,Cash,Mixed,Male,Auto,3.72,30,65.43,7,729,0.064861491,0
CUST00045,Wednesday,Morning,Ahmedabad,Clear,Card,Residential,Male,Auto,2.78,62.11,91.52,9,24,0.392377849,0
CUST00046,Monday,Evening,Delhi,Rainy,Cash,Mixed,Female,Auto,9.64,56.64,608.45,5,95,0.010512071,0
CUST00047,Friday,Night,Mumbai,Clear,Cash,Commercial,Male,Taxi,5.2,63.6,350.74,1,367,0.081933558,0
CUST00048,Tuesday,Morning,Ahmedabad,Foggy,Card,Commercial,Female,Taxi,1.75,87.67,172.96,7,19,0.371588052,1
CUST00049,Monday,Morning,Hyderabad,Clear,UPI,Commercial,Female,Auto,7.42,53.79,374.06,1,290,0.037082979,0
CUST00050,Friday,Afternoon,Delhi,Clear,UPI,Commercial,Male,Taxi,4.88,98.21,345.87,14,91,0.147299091,0
CUST00051,Friday,Afternoon,Mumbai,Rainy,UPI,Residential,Male,Auto,4.75,48.6,237.58,8,553,0.092016849,0
CUST00052,Thursday,Evening,Bangalore,Cloudy,UPI,Residential,Male,Auto,1.06,60,14.68,2,1012,0.087398938,0
CUST00053,Wednesday,Evening,Ahmedabad,Clear,Cash,Commercial,Female,Auto,2.72,50.95,44.19,6,242,0.370192368,1
CUST00054,Monday,Afternoon,Pune,Rainy,UPI,Mixed,Other,Taxi,2.24,73.53,39.99,7,345,0.475675229,0
CUST00055,Saturday,Afternoon,Hyderabad,Clear,Cash,Commercial,Female,Auto,5.38,80.9,423.82,1,46,0.082250031,0
CUST00056,Friday,Afternoon,Mumbai,Clear,Card,Mixed,Female,Auto,2.13,51.79,81.89,7,70,0.610247738,1
CUST00057,Thursday,Afternoon,Hyderabad,Clear,Cash,Commercial,Male,Taxi,1.85,78.68,192.51,3,636,0.120319395,0
CUST00058,Monday,Afternoon,Ahmedabad,Clear,Cash,Residential,Male,Taxi,3.48,62.56,181.96,1,844,0.046944041,0
